date,name_muni,rent_price,chg,acum12m
2019-06-01,Rio De Janeiro,32.470327469999994,NA,NA
2019-07-01,Rio De Janeiro,31.679977840000003,-0.02434067321095578,NA
2019-08-01,Rio De Janeiro,31.95517717,0.00868685361428878,NA
2019-09-01,Rio De Janeiro,31.66929913,-0.00894621984034516,NA
2019-10-01,Rio De Janeiro,31.07667463,-0.01871290228329092,NA
2019-11-01,Rio De Janeiro,30.24119309,-0.02688452191063795,NA
2019-12-01,Rio De Janeiro,29.813989040000003,-0.01412656070574347,NA
2020-01-01,Rio De Janeiro,30.28217386999999,0.01570352861443158,NA
2020-02-01,Rio De Janeiro,30.207835390000003,-0.00245485942717071,NA
2020-03-01,Rio De Janeiro,30.37308201,0.00547032310877537,NA
2020-04-01,Rio De Janeiro,30.12379455,-0.00820751282065901,NA
2020-05-01,Rio De Janeiro,29.80518068,-0.01057681725558046,NA
2020-06-01,Rio De Janeiro,29.03874591,-0.02571481710608436,-0.10568361416035932
2020-07-01,Rio De Janeiro,28.45586435,-0.02007254589459639,-0.10177133034257202
2020-08-01,Rio De Janeiro,28.36478195,-0.00320083055217412,-0.1123572309081332
2020-09-01,Rio De Janeiro,28.835446979999997,0.01659328920030689,-0.0894826291660974
2020-10-01,Rio De Janeiro,29.26801349,0.01500120703174889,-0.05819995741288231
2020-11-01,Rio De Janeiro,29.08366597,-0.00629860034959273,-0.03827650306504493
2020-12-01,Rio De Janeiro,29.065665269999997,-6.189281646463707e-4,-0.02509975330694647
2021-01-01,Rio De Janeiro,28.93981433,-0.00432988334624129,-0.0443283743684546
2021-02-01,Rio De Janeiro,29.253068140000003,0.01082431996376942,-0.0316066092678744
2021-03-01,Rio De Janeiro,29.71853746,0.01591181197720326,-0.02155015252599323
2021-04-01,Rio De Janeiro,29.81057962,0.0030971295314881,-0.01039759215858804
2021-05-01,Rio De Janeiro,29.955019989999997,0.00484527210947249,0.00502729077903363
2021-06-01,Rio De Janeiro,29.53281705,-0.01409456378733653,0.01701420376524809
2021-07-01,Rio De Janeiro,29.49605727,-0.00124470956962108,0.03655460636183405
2021-08-01,Rio De Janeiro,29.425302449999997,-0.0023987890772088,0.03738863573389794
2021-09-01,Rio De Janeiro,29.66823257999999,0.00825582440189998,0.02888062045917339
2021-10-01,Rio De Janeiro,30.02800616,0.01212655924244487,0.02596666392338753
2021-11-01,Rio De Janeiro,30.66885367,0.02134166040147112,0.05450439781680671
2021-12-01,Rio De Janeiro,30.91321554,0.00796775362487811,0.06356469920222141
2022-01-01,Rio De Janeiro,31.18805151,0.00889056557847811,0.07768664837871464
2022-02-01,Rio De Janeiro,31.55902642,0.01189477675067496,0.0788279119634252
2022-03-01,Rio De Janeiro,32.40618991,0.02684377771118828,0.09043690166844431
2022-04-01,Rio De Janeiro,33.10991089000001,0.02171563463506243,0.1106765219615682
2022-05-01,Rio De Janeiro,33.66830699000001,0.01686492306956499,0.12396209387406976
2022-06-01,Rio De Janeiro,33.85640743999999,0.0055868698730781,0.14639952506664078
2022-07-01,Rio De Janeiro,34.36161556,0.01492208294383656,0.16495622602918814
2022-08-01,Rio De Janeiro,34.707031380000004,0.01005237426618843,0.17949616453305173
2022-09-01,Rio De Janeiro,34.940928310000004,0.00673917994999673,0.17772193593879426
2022-10-01,Rio De Janeiro,35.21842365,0.00794184222977767,0.17285255179260295
2022-11-01,Rio De Janeiro,35.70709041,0.01387531608047987,0.164278612895413
2022-12-01,Rio De Janeiro,36.204886019999996,0.01394108576991715,0.1711782610629058
2023-01-01,Rio De Janeiro,36.73104154,0.01453272134897343,0.17772800036009673
2023-02-01,Rio De Janeiro,37.0115099,0.00763573120284566,0.17277096598089536
2023-03-01,Rio De Janeiro,37.89313405,0.02382026975884055,0.16931778019071664
2023-04-01,Rio De Janeiro,38.314863839999994,0.01112945129963449,0.15720226391705583
2023-05-01,Rio De Janeiro,38.56520909,0.0065338937662791,0.1454454511613681
2019-06-01,São Paulo,38.42390387,NA,NA
2019-07-01,São Paulo,38.25241872000001,-0.00446298092406705,NA
2019-08-01,São Paulo,38.34767959999999,0.00249032304851826,NA
2019-09-01,São Paulo,38.62251730000001,0.00716699687873734,NA
2019-10-01,São Paulo,38.48089211,-0.00366690728364338,NA
2019-11-01,São Paulo,37.75194379,-0.01894312423725153,NA
2019-12-01,São Paulo,37.46710121,-0.007545110301723,NA
2020-01-01,São Paulo,37.79969887000001,0.00887705878647571,NA
2020-02-01,São Paulo,38.563802290000005,0.02021453722760835,NA
2020-03-01,São Paulo,39.05072178,0.01262633508849453,NA
2020-04-01,São Paulo,39.01634629,-8.802779675535222e-4,NA
2020-05-01,São Paulo,38.00084686,-0.02602753785431422,NA
2020-06-01,São Paulo,37.20998408,-0.02081171461556208,-0.03159282810271113
2020-07-01,São Paulo,36.46850284000001,-0.01992694322055688,-0.04663537469507217
2020-08-01,São Paulo,36.1746673,-0.00805724165012133,-0.05666607008993574
2020-09-01,São Paulo,35.6181574,-0.01538396733229929,-0.07778778054945712
2020-10-01,São Paulo,35.45741282,-0.00451299538588712,-0.07857092505436714
2020-11-01,São Paulo,35.42041872000001,-0.00104333895391062,-0.06175907346571074
2020-12-01,São Paulo,35.43372034000001,3.755353686005769e-4,-0.05427110196230722
2021-01-01,São Paulo,35.80594784,0.01050489467175141,-0.05274515643251221
2021-02-01,São Paulo,36.16184723,0.00993967235807713,-0.06228522389823732
2021-03-01,São Paulo,36.64640796,0.01339977813959691,-0.06156899822608086
2021-04-01,São Paulo,35.9639406,-0.01862303559860267,-0.07823402189718465
