code,name,unit,frequency,first_value,last_value,source
22114,PIB trimestral - Dados dessazonalizados - Exportação,Índice,T,1995-01-01,4º Trim. 2022,IBGE
22115,PIB trimestral - Dados dessazonalizados - Importação SCN 2010,Índice,T,1995-01-01,4º Trim. 2022,IBGE
22704,Balança comercial e Serviços - mensal - saldo,US$ (milhões),M,1995-01-01,2023-01-01 00:00:00,BCB-DSTAT
22705,Balança comercial e Serviços - mensal - receita,US$ (milhões),M,1995-01-01,2023-01-01 00:00:00,BCB-DSTAT
22706,Balança comercial e Serviços - mensal - despesa,US$ (milhões),M,1995-01-01,2023-01-01 00:00:00,BCB-DSTAT
22707,Balança comercial - Balanço de Pagamentos - mensal - saldo,US$ (milhões),M,1995-01-01,2023-01-01 00:00:00,BCB-DSTAT
22708,Exportação de bens - Balanço de Pagamentos - mensal,US$ (milhões),M,1995-01-01,2023-01-01 00:00:00,BCB-DSTAT
22709,Importação de bens - Balanço de Pagamentos - mensal,US$ (milhões),M,1995-01-01,2023-01-01 00:00:00,BCB-DSTAT
23461,Transações correntes - anual - saldo,US$ (milhões),A,1995-01-01,2022-12-31 00:00:00,BCB-DSTAT
23982,PMS - Volume de serviços - Total - Brasil,Índice,M,2011-01-01,2022-12-01 00:00:00,IBGE
24364,Índice de Atividade Econômica do Banco Central (IBC-Br) - com ajuste sazonal,Índice,M,2003-01-01,2022-12-01 00:00:00,BCB-Depec
24369,Taxa de desocupação - PNADC,%,M,2012-03-01,2023-01-01 00:00:00,IBGE
24382,Rendimento médio real habitual das pessoas ocupadas - PNADC,R$,M,2012-03-01,2023-01-01 00:00:00,IBGE
25351,Indicador de Custo do Crédito - ICC - Total,% a.a.,M,2013-01-01,2023-01-01 00:00:00,BCB-DSTAT
25357,Indicador de Custo do Crédito - ICC - Recursos direcionados - Total,% a.a.,M,2013-01-01,2023-01-01 00:00:00,BCB-DSTAT
25358,Indicador de Custo do Crédito - ICC - Recursos direcionados - Pessoas jurídicas - Total,% a.a.,M,2013-01-01,2023-01-01 00:00:00,BCB-DSTAT
25359,Indicador de Custo do Crédito - ICC - Recursos direcionados - Pessoas físicas - Total,% a.a.,M,2013-01-01,2023-01-01 00:00:00,BCB-DSTAT
27713,Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas físicas - Financiamento imobiliário com taxas de mercado,% a.a.,M,2013-01-01,2023-01-01 00:00:00,BCB-DSTAT
27714,Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas físicas - Financiamento imobiliário com taxas reguladas,% a.a.,M,2013-01-01,2023-01-01 00:00:00,BCB-DSTAT
27715,Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas físicas - Financiamento imobiliário total,% a.a.,M,2013-01-01,2023-01-01 00:00:00,BCB-DSTAT
27841,Meios de pagamento - M1 (saldo em final de período) - Novo - sazonalmente ajustado,u.m.c. (mil),M,2001-12-03,2023-01-01 00:00:00,BCB-DSTAT
28473,Índice volume de vendas no varejo - Total - Brasi - Dados dessazonalizados,Índice,M,2000-01-31,2022-12-01 00:00:00,IBGE
28478,Índice volume de vendas no varejo - Móveis e eletrodomésticos - Brasil - Dados dessazonalizados,Índice,M,2000-01-31,2022-12-01 00:00:00,IBGE
28479,"Índice volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Brasil - Dados dessazonalizados",Índice,M,2000-01-31,2022-12-01 00:00:00,IBGE
28484,Material de construção - Dados dessazonalizados,Índice,M,2003-01-01,2022-12-01 00:00:00,IBGE
28503,Indicadores da produção (2012=100) - Geral - Dados dessazonalizados,Índice,M,2002-01-01,2022-12-01 00:00:00,IBGE
28509,Indicadores da produção (2012=100) - Bens de consumo duráveis - Dados dessazonalizados,Índice,M,2002-01-01,2022-12-01 00:00:00,IBGE
28511,Indicadores da produção (2012=100) - Insumos da construção civil - Dados dessazonalizados,Índice,M,2012-01-01,2022-12-01 00:00:00,IBGE
28545,Massa de rendimento real habitual de todos os trabalhos,R$ (milhões),M,2012-03-01,2023-01-01 00:00:00,IBGE
28763,Estoque de empregos formais - Total,Unidades,M,1992-01-01,2023-01-01 00:00:00,ME
28770,Estoque de empregos formais  Construção,Unidades,M,1992-01-01,2023-01-01 00:00:00,ME
29033,Comprometimento de renda das famílias com juros da dívida com o Sistema Financeiro Nacional - Com ajuste sazonal (RNDBF),%,M,2005-03-01,2022-11-01 00:00:00,BCB-DSTAT
29034,Comprometimento de renda das famílias com o serviço da dívida com o Sistema Financeiro Nacional - Com ajuste sazonal (RNDBF),%,M,2005-03-01,2022-11-01 00:00:00,BCB-DSTAT
29035,Comprometimento de renda das famílias com o serviço da dívida com o Sistema Financeiro Nacional exceto crédito habitacional - Com ajuste sazonal (RNDBF),%,M,2005-03-01,2022-11-01 00:00:00,BCB-DSTAT
29036,Comprometimento de renda das famílias com amortização da dívida com o Sistema Financeiro Nacional - Com ajuste sazonal (RNDBF),%,M,2005-03-01,2022-11-01 00:00:00,BCB-DSTAT
29037,Endividamento das famílias com o Sistema Financeiro Nacional em relação à renda acumulada dos últimos doze meses (RNDBF),%,M,2005-01-01,2022-11-01 00:00:00,BCB-DSTAT
29038,Endividamento das famílias com o Sistema Financeiro Nacional exceto crédito habitacional em relação à renda acumulada dos últimos 12 meses (RNDBF),%,M,2005-01-01,2022-11-01 00:00:00,BCB-DSTAT
